player;minutes;Pases;Shot_Assist;Assist;Centros_Area;Porc_Pase;Regates_Int;Regates_Comp;Recuperaciones;Despejes;Perdidas;Errores;Tiros;xG_per_90;Goles;position;Pases_perc;Shot_Assist_perc;Assist_perc;Centros_Area_perc;Porc_Pase_perc;Regates_Int_perc;Regates_Comp_perc;Recuperaciones_perc;Despejes_perc;Tiros_perc;xG_per_90_perc;Goles_perc;Perdidas_perc;Errores_perc
Stevan Jovetić;1523;52.71175311884439;0.1181877872619829;0.7091267235718975;0.2363755745239658;72.53363228699553;3.7820091923834536;1.8319107025607355;5.436638214051214;0.650032829940906;3.013788575180565;0.0;4.136572554169403;0.4578376106375574;0.0;FW;72.90502793296089;22.149302707137;88.47631241997439;35.98014888337469;19.41340782122905;90.88997897687456;88.20621468926554;67.10893854748603;21.67832167832168;98.94884372810091;95.86545199719691;0.0;5.969101123595493;0.0
Marcelo Brozović;2390;69.32635983263597;0.1506276150627615;0.0376569037656903;0.0376569037656903;79.90222705051603;2.8995815899581587;1.506276150627615;6.401673640167364;0.9414225941422594;1.6192468619246865;0.0;2.1087866108786613;0.1296963919958159;0.0;MF;94.55307262569832;27.52255947497949;6.017925736235595;4.301075268817204;49.72067039106145;82.27049754730203;81.42655367231639;87.22067039106145;31.88811188811189;79.60756832515767;67.7645409950946;0.0;33.28651685393258;0.0
João Miranda de Souza Filho;2835;48.761904761904766;0.0952380952380952;0.0;0.0;83.7890625;0.4761904761904761;0.380952380952381;5.492063492063492;5.492063492063492;0.380952380952381;0.0;0.3174603174603174;0.0327414516190476;0.0;DF;62.01117318435754;18.04757998359311;0.0;0.0;64.73463687150837;19.481429572529784;25.98870056497175;68.29608938547486;89.51048951048952;13.454800280308339;27.25998598458304;0.0;79.35393258426966;0.0
Yuto Nagatomo;1714;54.81913652275379;0.0;0.0;0.0525087514585764;79.6934865900383;1.0501750291715286;0.4200700116686114;3.938156359393232;2.2578763127187864;0.6826137689614936;0.0;0.367561260210035;0.0112532522870478;0.0;DF;77.02513966480447;0.0;0.0;8.6848635235732;48.463687150837984;41.065171688857745;29.096045197740114;29.88826815642458;59.02097902097903;17.168885774351786;7.498248072880168;0.0;67.41573033707866;0.0
Jeison Fabián Murillo Cerón;2889;48.90965732087227;0.0;0.0;0.0;87.57961783439491;0.2180685358255451;0.1557632398753894;4.579439252336449;4.112149532710281;0.4361370716510903;0.0;0.6542056074766356;0.0588864561495327;0.0;DF;62.63966480446927;0.0;0.0;0.0;74.09217877094972;7.778556412053258;7.556497175141243;45.600558659217874;79.65034965034965;38.33216538192011;44.77925718290119;0.0;76.96629213483146;0.0
Geoffrey Kondogbia;1984;59.83366935483871;0.0;0.0453629032258064;0.0;88.47611827141773;2.8125;1.6330645161290325;8.165322580645162;1.2701612903225805;2.086693548387097;0.0;1.7237903225806452;0.0806944652419354;0.0;MF;85.61452513966479;0.0;10.627400768245838;0.0;75.55865921787709;81.0791871058164;84.4632768361582;98.60335195530726;39.86013986013986;71.05816398037841;55.78135949544499;0.0;22.120786516853926;0.0
Danilo D''Ambrosio;1619;52.58801729462631;0.0;0.0;0.0;76.95560253699789;1.7232859789993822;0.6670784434836319;4.336009882643607;3.1130327362569488;0.9450277949351452;0.0555898702903026;0.4447189623224212;0.0449889189376158;0.0;DF;72.5558659217877;0.0;0.0;0.0;36.9413407821229;60.68675543097407;44.632768361581924;39.80446927374302;71.67832167832168;23.545900490539594;36.510161177295025;0.0;55.33707865168539;37.94037940379404
Mauro Emanuel Icardi Rivero;2581;19.457574583494768;0.1394808213870592;0.2092212320805889;0.0348702053467648;72.58064516129032;0.592793490895002;0.2440914374273537;2.1619527314994187;1.185586981790004;0.6974041069352964;0.0;2.0573421154591243;0.4309705290197598;0.0;FW;1.9553072625698322;25.75881870385562;64.6606914212548;2.894954507857734;19.762569832402235;24.176594253679045;13.27683615819209;2.025139664804469;37.83216783216783;78.62648913805185;94.74421864050456;0.0;66.6432584269663;0.0
Rodrigo Sebastián Palacio;1397;37.4302075876879;0.2576950608446671;0.4509663564781675;0.0644237652111667;75.7314974182444;2.6413743736578383;1.546170365068003;4.123120973514674;0.6442376521116678;2.1904080171796707;0.0;1.0952040085898354;0.2110676146492484;0.0;FW;30.726256983240223;40.52502050861362;82.58642765685019;11.662531017369728;31.913407821229047;79.18710581639803;82.20338983050847;34.427374301675975;21.25874125874126;56.131744919411354;80.58864751226349;0.0;18.75;0.0
Gary Alexis Medel Soto;2408;67.16362126245846;0.037375415282392;0.0;0.0;89.259877573734;0.4485049833887043;0.2616279069767442;6.391196013289036;2.5041528239202657;0.4485049833887043;0.037375415282392;0.4485049833887043;0.0162627470431893;0.0;MF;93.29608938547486;3.5274815422477444;0.0;0.0;77.23463687150837;18.43027330063069;15.28954802259887;86.9413407821229;62.93706293706294;24.106517168885773;11.702873160476523;0.0;76.33426966292134;70.18970189701898
Felipe Melo de Carvalho;1802;55.53829078801332;0.0499445061043285;0.0499445061043285;0.0;87.14028776978418;0.4994450610432852;0.3496115427302997;5.194228634850166;2.7469478357380686;1.048834628190899;0.0499445061043285;1.148723640399556;0.0832468556687014;0.0;MF;78.07262569832402;8.039376538146023;14.852752880921894;0.0;72.83519553072625;20.25227750525578;23.093220338983052;61.9413407821229;66.64335664335665;57.393132445690256;56.90259285213735;0.0;51.264044943820224;42.81842818428185
Keita Baldé Diao;1767;34.12563667232598;0.0509337860780984;0.0509337860780984;0.0509337860780984;76.11940298507463;4.32937181663837;2.2410865874363326;4.227504244482173;0.10186757215619695;2.4957555178268254;0.0;3.208828522920204;0.2680058531205433;0.0;FW;23.6731843575419;8.1214109926169;15.87708066581306;8.354011579818032;33.5195530726257;94.74421864050456;92.65536723163842;37.36033519553072;1.4685314685314685;95.6552207428171;85.84442887175894;0.0;13.342696629213478;0.0
Wesley Hoedt;2043;47.57709251101321;0.0;0.0;0.0;84.62962962962963;0.3964757709251101;0.3083700440528634;4.845814977973569;4.801762114537445;0.2202643171806167;0.0;0.5286343612334802;0.030626601647577;0.0;DF;58.17039106145251;0.0;0.0;0.0;67.0391061452514;15.837421163279608;19.350282485875706;52.16480446927374;84.47552447552448;29.64260686755431;25.297827610371407;0.0;88.83426966292134;0.0
Lucas Rodrigo Biglia;2299;77.94258373205741;0.117442366246194;0.039147455415398;0.039147455415398;86.2882973380211;0.8220965637233579;0.743801652892562;8.964767290126142;1.683340582862114;1.252718573292736;0.0;0.704654197477164;0.0932905902174858;0.0;MF;97.5558659217877;21.903199343724367;6.914212548015365;4.797353184449959;71.29888268156424;33.216538192011214;49.152542372881356;99.37150837988827;49.09090909090909;40.99509460406447;60.33637000700771;0.0;44.10112359550561;0.0
Antonio Candreva;2187;52.09876543209876;0.1234567901234567;0.205761316872428;0.1234567901234567;69.90521327014217;3.168724279835391;1.3991769547325104;5.51440329218107;0.411522633744856;2.1810699588477367;0.0;3.703703703703704;0.4709832409588477;0.0;FW;71.50837988826815;23.051681706316653;64.404609475032;22.332506203473947;12.91899441340782;85.63419761737912;77.8954802259887;68.99441340782123;10.90909090909091;98.03784162578836;96.63629992992291;0.0;19.030898876404493;0.0
